product_id,product_name,category,subcategory,brand,selling_price,product_cost,product_rating,launch_date
21,Aashirvaad Atta 10kg Pro,Grocery,Staples,Prestige,417.88,303.23,3.79,2024-02-14
22,Puma Running Shoes Pro,Fashion,Men Footwear,Puma,4507.04,2967.27,2.72,2022-11-23
23,Puma Sports Jacket Silver,Fashion,Apparel,Puma,2254.98,1517.06,4.93,2022-11-29
24,Apple MacBook Air M2 Blue,Laptops,Thin & Light,Apple,143987.71,115839.58,2.79,2023-10-30
25,Philips Air Fryer HD9200 Black,Home Appliances,Kitchen,Philips,6849.54,5304.37,3.86,2023-11-06
26,Prestige Pressure Cooker 5L V2,Home Appliances,Kitchen,Prestige,4152.23,2759.94,3.38,2022-03-07
27,Fortune Sunflower Oil 5L Edition,Grocery,Staples,Prestige,594.98,375.39,4.36,2022-04-08
28,Apple MacBook Air M2 Blue,Laptops,Thin & Light,Apple,101663.1,63053.05,3.51,2023-01-08
29,HP Chromebook 14 V2,Laptops,Budget Laptops,HP,42286.57,30473.77,4.1,2023-04-05
30,Prestige Pressure Cooker 5L,Home Appliances,Kitchen,Prestige,2584.77,2009.89,2.99,2022-04-02
31,Nivea Soft Cream 300ml,Beauty,Skincare,Nivea,419.17,272.85,3.95,2024-03-10
32,Samsung Galaxy M14 5G Pack of 2,Mobiles,Smartphones,Samsung,37169.45,23419.27,3.3,2023-01-16
33,Puma Sports Jacket Edition,Fashion,Apparel,Puma,2675.61,1664.41,3.56,2023-02-12
34,Noise Ultra 2 XL,Electronics,Wearables,Noise,3014.06,2468.99,2.86,2023-04-22
35,Puma Women Leggings Edition,Fashion,Women Apparel,Puma,1495.14,1189.42,3.73,2022-12-20
36,boAt Car Charger Blue,Mobiles,Accessories,boAt,627.76,496.0,3.3,2023-03-21
37,Prestige Induction Cooktop 256GB,Home Appliances,Kitchen,Prestige,1893.59,1532.77,3.41,2024-04-20
38,Apple MacBook Air M1 128GB,Laptops,Thin & Light,Apple,175329.35,153535.45,2.74,2023-10-15
39,Samsung Galaxy A54 V2,Mobiles,Smartphones,Samsung,15502.07,11456.84,4.9,2022-03-25
40,HP Chromebook 14 V2,Laptops,Budget Laptops,HP,29011.05,20473.69,2.77,2023-09-14
41,Aashirvaad Atta 10kg,Grocery,Staples,Prestige,990.24,627.64,4.1,2023-09-07
42,Philips Air Fryer HD9200 128GB,Home Appliances,Kitchen,Philips,7358.23,5179.95,4.84,2022-08-22
43,Metal Bookshelf Blue,Furniture,Office,LG,6086.88,4831.99,4.99,2023-10-29
44,LG 1.5 Ton 5 Star AI Dual Inverter Split AC,Home Appliances,Cooling,LG,35028.51,29705.22,4.99,2022-06-27
45,Puma Softride Rift Black,Fashion,Men Footwear,Puma,5292.4,3482.33,3.01,2022-10-11
46,Noise Ultra 2 Pro,Electronics,Wearables,Noise,4876.53,3024.76,2.79,2023-02-02
47,Philips Induction Cooktop Blue,Home Appliances,Kitchen,Philips,4499.83,3092.71,2.56,2023-12-18
48,HP Chromebook 14 Black,Laptops,Budget Laptops,HP,29841.27,18951.81,4.85,2023-04-25
49,Noise Ultra 2 Silver,Electronics,Wearables,Noise,4516.01,3837.83,4.18,2024-04-04
50,Philips Induction Cooktop Black,Home Appliances,Kitchen,Philips,7178.02,5034.04,4.0,2022-11-26
51,Nivea Roll-On Deodorant Silver,Beauty,Skincare,Nivea,467.19,359.97,3.46,2023-02-08
52,Samsung Galaxy S23 FE 128GB,Mobiles,Smartphones,Samsung,23600.44,16626.61,2.61,2024-01-04
53,Philips Hair Straightener Pack of 2,Beauty,Personal Care,Philips,2531.12,1624.27,3.23,2023-06-26
54,Apple MacBook Pro M3 V2,Laptops,Thin & Light,Apple,86418.7,52856.79,3.36,2022-10-26
55,LG 1.5 Ton 5 Star AI Dual Inverter Split AC 256GB,Home Appliances,Cooling,LG,38559.98,30709.46,3.08,2022-03-16
56,Apple MacBook Air M1 Blue,Laptops,Thin & Light,Apple,174294.31,106910.95,4.36,2023-03-01
57,HP Omen 16 Black,Laptops,Gaming Laptops,HP,77663.62,58611.14,3.51,2022-07-17
58,Puma Women Sports Bra Silver,Fashion,Women Apparel,Puma,2642.32,1926.8,2.97,2022-07-08
59,Noise ColorFit Pulse 256GB,Electronics,Audio,Noise,3388.26,2234.1,4.18,2022-09-24
60,boAt Rockerz 255 Blue,Electronics,Audio,boAt,1296.99,1093.02,3.89,2024-04-06
61,Nivea Roll-On Deodorant Pro,Beauty,Skincare,Nivea,765.87,593.54,3.27,2023-12-20
62,boAt Power Bank 10000mAh,Mobiles,Accessories,boAt,1751.48,1190.09,3.97,2023-03-06
63,HP Omen 16,Laptops,Gaming Laptops,HP,58822.41,43825.32,3.76,2023-03-16
64,LG Direct Cool Refrigerator 128GB,Home Appliances,Cooling,LG,27489.86,19311.56,2.65,2022-09-25
65,Prestige Pressure Cooker 5L Silver,Home Appliances,Kitchen,Prestige,1669.44,1048.65,4.13,2023-02-01
66,boAt Rockerz 255 Silver,Electronics,Audio,boAt,2441.02,1692.58,2.6,2023-09-11
67,Ergonomic Executive Office Chair Blue,Furniture,Office,LG,5611.24,4085.61,4.87,2023-11-17
68,LG Direct Cool Refrigerator V2,Home Appliances,Cooling,LG,41483.94,35361.71,4.11,2023-11-06
69,Puma Women Leggings Pack of 2,Fashion,Women Apparel,Puma,2387.51,2023.01,2.51,2022-07-14
70,Philips Beard Trimmer Series 3000 Black,Beauty,Personal Care,Philips,2559.4,1902.58,3.54,2022-04-05
71,HP Victus 15 Pack of 2,Laptops,Gaming Laptops,HP,75515.31,65465.13,3.44,2023-07-09
72,Nivea Soft Cream 300ml 256GB,Beauty,Skincare,Nivea,743.74,545.64,2.68,2022-11-21
73,Prestige Sandwich Maker Black,Home Appliances,Kitchen,Prestige,3258.39,2421.79,4.58,2023-03-07
74,Puma Smash v2 Sneakers XL,Fashion,Men Footwear,Puma,2354.49,1698.76,2.84,2023-04-12
75,Metal Bookshelf XL,Furniture,Office,LG,8157.48,6028.94,2.81,2023-11-04
76,Wooden Study Table V2,Furniture,Office,LG,14993.91,9051.09,3.93,2022-04-12
77,Nivea Roll-On Deodorant V2,Beauty,Skincare,Nivea,375.9,264.58,3.27,2023-01-12
78,Samsung Galaxy A54,Mobiles,Smartphones,Samsung,24058.57,18181.22,2.62,2024-03-20
79,HP Chromebook 14 128GB,Laptops,Budget Laptops,HP,37609.6,27108.84,3.63,2023-01-29
80,Metal Bookshelf Pack of 2,Furniture,Office,LG,5102.56,4320.49,3.96,2023-08-03
81,boAt Rockerz 255 Blue,Electronics,Audio,boAt,1588.45,1155.25,4.62,2022-04-25
82,Philips Beard Trimmer Series 3000 Edition,Beauty,Personal Care,Philips,2097.58,1446.03,4.58,2022-11-14
83,HP Omen 16 Pack of 2,Laptops,Gaming Laptops,HP,67349.49,45491.92,2.98,2022-11-01
84,Noise Pulse 2 Max Pro,Electronics,Wearables,Noise,2164.95,1672.58,2.74,2022-04-23
85,Nivea Soft Cream 300ml 128GB,Beauty,Skincare,Nivea,422.79,295.48,2.98,2023-08-18
86,Noise Pure Pods Edition,Electronics,Audio,Noise,3175.74,2117.31,3.89,2022-07-16
87,Puma Running Shoes Black,Fashion,Men Footwear,Puma,3322.65,2741.94,4.09,2023-01-12
88,Prestige Pressure Cooker 5L V2,Home Appliances,Kitchen,Prestige,1758.72,1063.51,3.7,2023-09-20
89,Puma Women Leggings Black,Fashion,Women Apparel,Puma,700.33,447.1,3.27,2023-07-27
90,Nivea Roll-On Deodorant Black,Beauty,Skincare,Nivea,664.2,525.53,3.11,2023-12-21
91,boAt Car Charger Black,Mobiles,Accessories,boAt,1351.15,982.02,3.34,2023-09-04
92,Apple iPhone 14 Blue,Mobiles,Smartphones,Apple,55734.91,42938.71,3.04,2023-08-04
93,HP 250 G8 Silver,Laptops,Budget Laptops,HP,26807.56,17758.1,4.48,2022-08-28
94,LG 1.5 Ton 5 Star AI Dual Inverter Split AC Silver,Home Appliances,Cooling,LG,43997.06,28323.19,3.07,2024-03-14
95,Samsung Galaxy M34,Mobiles,Smartphones,Samsung,24006.46,19028.78,4.13,2022-03-20
96,Prestige Pressure Cooker 5L Silver,Home Appliances,Kitchen,Prestige,2121.52,1808.38,3.8,2022-03-31
97,Nivea Body Lotion 400ml 256GB,Beauty,Skincare,Nivea,286.42,192.03,3.91,2022-11-02
98,Noise ColorFit Pulse Edition,Electronics,Audio,Noise,2400.3,1468.59,4.35,2022-02-28
99,Puma Sports Jacket Edition,Fashion,Apparel,Puma,2052.78,1429.4,4.8,2023-02-08
100,boAt Stone 352 Speaker Pack of 2,Electronics,Audio,boAt,2961.16,2451.26,4.85,2022-12-07
101,HP Victus 15 Edition,Laptops,Gaming Laptops,HP,68775.54,49681.62,4.94,2022-11-30
102,Samsung Galaxy M14 5G,Mobiles,Smartphones,Samsung,47452.25,37411.16,3.59,2023-03-05
103,Puma Running Shoes XL,Fashion,Men Footwear,Puma,3868.11,2421.74,3.11,2023-04-03
104,Philips Hair Straightener 256GB,Beauty,Personal Care,Philips,1053.46,834.68,4.37,2022-05-13
105,Apple MacBook Pro M3 Pro,Laptops,Thin & Light,Apple,172880.36,151137.6,4.91,2023-06-04
106,Samsung Galaxy M14 5G Pack of 2,Mobiles,Smartphones,Samsung,23476.97,17961.09,3.4,2022-10-25
107,Nivea Soft Cream 300ml Edition,Beauty,Skincare,Nivea,284.52,240.09,4.98,2023-05-13
108,Apple MacBook Air M1 Edition,Laptops,Thin & Light,Apple,108060.7,67421.24,4.92,2023-03-09
109,Noise ColorFit Pulse Blue,Electronics,Audio,Noise,1838.39,1150.67,3.65,2023-11-07
110,Apple iPhone 15 Pro Black,Mobiles,Smartphones,Apple,118575.77,76758.96,3.24,2022-08-06
111,Samsung Galaxy M14 5G Edition,Mobiles,Smartphones,Samsung,38654.56,27337.38,4.42,2022-09-29
112,HP Omen 16 V2,Laptops,Gaming Laptops,HP,86793.43,73645.3,2.82,2024-03-22
113,boAt Car Charger 256GB,Mobiles,Accessories,boAt,870.54,745.07,2.9,2023-08-26
114,Samsung Galaxy A54 256GB,Mobiles,Smartphones,Samsung,46974.46,39116.74,3.38,2023-05-04
115,Aashirvaad Atta 10kg V2,Grocery,Staples,Prestige,362.06,241.73,3.47,2024-02-25
116,Philips Hair Dryer Edition,Beauty,Personal Care,Philips,2413.81,1509.68,4.05,2024-01-27
117,LG Direct Cool Refrigerator V2,Home Appliances,Cooling,LG,19742.72,14294.73,2.82,2022-04-15
118,HP Laptop 15s Blue,Laptops,Budget Laptops,HP,29857.44,20908.71,4.59,2022-11-09
119,HP Omen 16,Laptops,Gaming Laptops,HP,77500.66,57252.93,4.21,2023-09-18
120,Apple MacBook Air M1 Pack of 2,Laptops,Thin & Light,Apple,127274.2,89521.66,3.36,2023-09-11
121,Tata Salt 1kg V2,Grocery,Staples,Prestige,250.81,157.38,3.57,2023-05-29
122,Puma Smash v2 Sneakers XL,Fashion,Men Footwear,Puma,2414.47,1637.5,4.69,2023-08-18
123,Nivea Body Lotion 400ml Blue,Beauty,Skincare,Nivea,246.09,197.67,3.42,2022-02-15
124,Puma Running Shoes Blue,Fashion,Men Footwear,Puma,1916.25,1545.64,4.95,2022-10-27
125,Philips 750W Mixer Grinder Blue,Home Appliances,Kitchen,Philips,7109.25,5548.49,4.07,2023-04-25
126,Prestige Pressure Cooker 5L Pack of 2,Home Appliances,Kitchen,Prestige,1983.21,1366.18,4.32,2022-04-30
127,Puma Women Sports Bra Black,Fashion,Women Apparel,Puma,2230.56,1920.66,4.69,2023-12-11
128,Prestige Sandwich Maker Silver,Home Appliances,Kitchen,Prestige,2134.53,1532.27,4.89,2022-10-30
129,Tata Salt 1kg Black,Grocery,Staples,Prestige,879.21,560.76,3.78,2024-04-06
130,Ergonomic Executive Office Chair V2,Furniture,Office,LG,7348.9,5947.49,4.4,2022-06-17
131,Samsung Galaxy S23 FE Black,Mobiles,Smartphones,Samsung,26403.44,21892.93,4.57,2022-06-09
132,Puma Casual Tee Edition,Fashion,Women Apparel,Puma,2548.46,2024.88,4.84,2023-02-20
133,Puma Women Leggings 128GB,Fashion,Women Apparel,Puma,2306.36,1891.03,4.12,2023-01-23
134,Ergonomic Executive Office Chair Silver,Furniture,Office,LG,11908.53,9308.24,3.44,2023-11-16
135,Noise Pulse 2 Max Pack of 2,Electronics,Wearables,Noise,2028.61,1329.54,3.3,2023-06-08
136,Nivea Body Lotion 400ml Pro,Beauty,Skincare,Nivea,646.44,532.87,2.55,2024-03-01
137,boAt Power Bank 10000mAh Silver,Mobiles,Accessories,boAt,1739.85,1375.44,4.99,2023-09-23
138,Aashirvaad Atta 10kg 256GB,Grocery,Staples,Prestige,350.95,272.67,3.08,2022-07-22
139,Philips Hair Straightener XL,Beauty,Personal Care,Philips,1485.23,1072.63,4.19,2024-01-13
140,Noise ColorFit Pulse 128GB,Electronics,Audio,Noise,2580.55,1683.57,3.64,2023-08-18
141,boAt Car Charger V2,Mobiles,Accessories,boAt,1702.25,1282.89,4.95,2023-10-02
142,Puma Running Shoes Black,Fashion,Men Footwear,Puma,1981.3,1335.04,4.96,2023-09-13
143,Puma Casual Tee Black,Fashion,Women Apparel,Puma,2617.21,1783.58,4.03,2022-04-26
144,boAt Rockerz 255,Electronics,Audio,boAt,2699.16,1726.95,3.87,2023-03-08
145,Nivea Body Lotion 400ml Black,Beauty,Skincare,Nivea,274.73,189.86,2.78,2022-05-03
146,HP Victus 15 Edition,Laptops,Gaming Laptops,HP,80324.28,67136.95,3.83,2022-02-21
147,Puma Running Shoes Pack of 2,Fashion,Men Footwear,Puma,3458.77,2828.15,3.55,2023-03-26
148,Apple iPhone 13 Blue,Mobiles,Smartphones,Apple,60801.41,46758.71,2.94,2022-08-08
149,Prestige Pressure Cooker 5L V2,Home Appliances,Kitchen,Prestige,3820.3,2565.73,3.84,2022-07-14
150,Apple iPhone 12 128GB,Mobiles,Smartphones,Apple,43135.57,37165.16,4.97,2022-06-21
151,Puma Running Shoes Black,Fashion,Men Footwear,Puma,3701.2,2734.15,4.75,2022-09-02
152,Apple iPhone 12 Edition,Mobiles,Smartphones,Apple,110450.49,90406.37,3.12,2023-07-24
153,HP Laptop 15s 256GB,Laptops,Budget Laptops,HP,39307.26,28599.02,4.97,2023-04-25
154,Prestige Induction Cooktop Silver,Home Appliances,Kitchen,Prestige,3811.09,2790.54,2.54,2022-04-08
155,Philips Induction Cooktop V2,Home Appliances,Kitchen,Philips,6759.98,5212.7,3.44,2023-11-11
156,Puma Track Pants Black,Fashion,Apparel,Puma,2305.14,1899.11,4.58,2023-11-26
157,Samsung Galaxy A54,Mobiles,Smartphones,Samsung,39923.68,24352.86,4.02,2022-11-20
158,Noise ColorFit Pro 4 Pro,Electronics,Wearables,Noise,2038.97,1560.34,3.09,2023-09-06
159,Nivea Soft Cream 300ml 256GB,Beauty,Skincare,Nivea,332.72,248.41,3.68,2023-10-19
160,Nivea Roll-On Deodorant Silver,Beauty,Skincare,Nivea,589.97,441.41,3.83,2022-10-02
161,boAt Power Bank 10000mAh Pro,Mobiles,Accessories,boAt,1230.1,749.42,3.31,2022-07-15
162,Puma Women Leggings V2,Fashion,Women Apparel,Puma,1247.4,759.86,2.59,2022-09-29
163,HP 250 G8 XL,Laptops,Budget Laptops,HP,44768.27,28026.36,4.37,2022-08-21
164,Ergonomic Executive Office Chair Pack of 2,Furniture,Office,LG,5969.19,5059.94,3.55,2023-12-26
165,Puma Smash v2 Sneakers 256GB,Fashion,Men Footwear,Puma,4937.72,3173.39,3.87,2024-02-20
166,LG Direct Cool Refrigerator Blue,Home Appliances,Cooling,LG,26144.85,22196.15,4.41,2024-03-15
167,HP Victus 15 Pro,Laptops,Gaming Laptops,HP,90813.43,69540.63,4.01,2023-01-18
168,LG 260L Double Door Refrigerator Pro,Home Appliances,Cooling,LG,24098.28,20751.32,3.01,2023-08-14
169,Philips Air Fryer HD9200 Blue,Home Appliances,Kitchen,Philips,6619.4,4308.13,4.5,2023-12-24
170,Apple iPhone 14 Blue,Mobiles,Smartphones,Apple,100878.51,72572.55,3.75,2023-05-16
171,Prestige Induction Cooktop 128GB,Home Appliances,Kitchen,Prestige,2900.67,2134.98,2.57,2023-03-16
172,Nivea Body Lotion 400ml Pro,Beauty,Skincare,Nivea,348.87,242.24,3.65,2022-06-02
173,Puma Casual Tee Blue,Fashion,Women Apparel,Puma,1351.37,1032.53,4.82,2022-09-28
174,HP 250 G8 V2,Laptops,Budget Laptops,HP,30123.15,20653.25,4.24,2022-04-25
175,Fortune Sunflower Oil 5L Pro,Grocery,Staples,Prestige,579.09,414.71,2.63,2023-09-27
176,Apple iPhone 12 V2,Mobiles,Smartphones,Apple,95686.66,81446.17,2.76,2022-06-11
177,Philips Hair Straightener Black,Beauty,Personal Care,Philips,1395.34,1030.57,4.32,2022-03-27
178,Apple MacBook Air M2 256GB,Laptops,Thin & Light,Apple,145568.91,95991.44,3.54,2023-11-26
179,HP Omen 16 128GB,Laptops,Gaming Laptops,HP,71832.87,43131.65,2.78,2023-11-01
180,Apple MacBook Air M1 Blue,Laptops,Thin & Light,Apple,112845.7,81631.17,4.86,2023-07-01
181,Samsung Galaxy S23 FE Pack of 2,Mobiles,Smartphones,Samsung,40273.05,29075.74,2.73,2023-08-27
182,Apple MacBook Air M2 Pro,Laptops,Thin & Light,Apple,143105.46,90615.8,3.4,2023-06-19
183,Philips Beard Trimmer Series 3000,Beauty,Personal Care,Philips,2735.6,1703.55,4.81,2022-05-19
184,Nivea Body Lotion 400ml 256GB,Beauty,Skincare,Nivea,392.62,251.57,3.53,2023-04-16
185,Puma Casual Tee 128GB,Fashion,Women Apparel,Puma,987.57,780.62,4.8,2022-05-07
186,Apple MacBook Pro M3 Pack of 2,Laptops,Thin & Light,Apple,118273.99,85129.25,3.72,2023-06-05
187,Noise ColorFit Pulse Pro,Electronics,Audio,Noise,3239.79,2535.62,3.94,2023-03-12
188,LG 260L Double Door Refrigerator 256GB,Home Appliances,Cooling,LG,43239.04,35493.61,3.23,2022-05-17
189,Puma Sports Jacket XL,Fashion,Apparel,Puma,2123.95,1800.34,4.33,2022-10-31
190,Philips Air Fryer HD9200 V2,Home Appliances,Kitchen,Philips,3339.03,2350.43,4.89,2024-01-01
191,Philips Hair Straightener 128GB,Beauty,Personal Care,Philips,1689.13,1465.43,3.53,2022-03-31
192,Samsung Galaxy M14 5G Edition,Mobiles,Smartphones,Samsung,32254.74,20537.69,3.46,2023-06-14
193,Apple MacBook Air M2 128GB,Laptops,Thin & Light,Apple,129172.73,82196.17,2.82,2022-03-05
194,Puma T-shirt Pack of 2,Fashion,Apparel,Puma,2698.45,1761.05,4.47,2022-03-19
195,Samsung Galaxy S23 FE Edition,Mobiles,Smartphones,Samsung,31411.94,21393.13,3.63,2023-09-17
196,HP Pavilion Gaming Edition,Laptops,Gaming Laptops,HP,61624.8,46044.25,4.95,2022-09-06
197,Noise ColorFit Pro 4,Electronics,Wearables,Noise,4870.47,3118.64,3.65,2023-05-10
198,Philips Beard Trimmer Series 3000 XL,Beauty,Personal Care,Philips,2056.64,1782.25,3.14,2022-03-18
199,Samsung Galaxy M14 5G Pro,Mobiles,Smartphones,Samsung,26074.89,18647.23,4.99,2022-08-12
200,Noise Buds VS102 Black,Electronics,Audio,Noise,3189.27,2131.74,3.23,2022-09-16
201,Puma Track Pants Silver,Fashion,Apparel,Puma,1291.43,832.33,4.41,2022-03-19
202,Apple iPhone 12 Silver,Mobiles,Smartphones,Apple,83953.83,57869.87,3.27,2022-03-30
203,Nivea Roll-On Deodorant Pro,Beauty,Skincare,Nivea,543.78,366.49,3.92,2022-10-15
204,Fortune Sunflower Oil 5L,Grocery,Staples,Prestige,443.43,326.02,4.94,2022-07-28
205,Nivea Roll-On Deodorant Black,Beauty,Skincare,Nivea,400.88,266.97,3.67,2024-03-18
206,Prestige Pressure Cooker 5L 128GB,Home Appliances,Kitchen,Prestige,1614.43,1294.59,4.49,2022-07-15
207,Puma Women Leggings,Fashion,Women Apparel,Puma,796.08,620.22,4.42,2022-11-16
208,Philips Air Fryer HD9200 256GB,Home Appliances,Kitchen,Philips,7944.3,6891.38,4.64,2023-02-22
209,HP Laptop 15s Edition,Laptops,Budget Laptops,HP,44783.42,26915.46,3.52,2023-04-05
210,Philips Hair Dryer,Beauty,Personal Care,Philips,1699.58,1066.29,4.47,2023-03-30
211,Puma Track Pants Silver,Fashion,Apparel,Puma,1481.21,1091.73,4.62,2023-05-24
212,Wooden Study Table XL,Furniture,Office,LG,9813.12,6515.76,3.35,2023-11-03
213,LG 1.5 Ton 5 Star AI Dual Inverter Split AC XL,Home Appliances,Cooling,LG,25465.76,18936.68,3.05,2022-03-17
214,LG 1.5 Ton 5 Star AI Dual Inverter Split AC XL,Home Appliances,Cooling,LG,16299.24,13187.62,2.62,2022-08-10
215,Wooden Study Table 256GB,Furniture,Office,LG,8966.72,5640.99,3.22,2022-06-16
216,boAt Rockerz 255 Silver,Electronics,Audio,boAt,3406.16,2429.78,2.87,2024-01-29
217,Samsung Galaxy M34,Mobiles,Smartphones,Samsung,39439.67,31804.79,3.29,2023-10-21
218,Philips Air Fryer HD9200 Pro,Home Appliances,Kitchen,Philips,6415.67,4867.98,3.71,2024-03-19
219,Noise Ultra 2 128GB,Electronics,Wearables,Noise,4417.46,2859.92,3.55,2023-01-21
220,Puma T-shirt Pro,Fashion,Apparel,Puma,3360.14,2643.69,2.76,2023-04-03
221,boAt Power Bank 10000mAh Silver,Mobiles,Accessories,boAt,1862.88,1500.19,2.69,2022-11-03
222,Apple iPhone 12,Mobiles,Smartphones,Apple,129577.13,110981.59,3.13,2023-10-07
223,Fortune Sunflower Oil 5L Pack of 2,Grocery,Staples,Prestige,986.9,840.47,3.3,2022-11-28
224,boAt Type-C Cable Pro,Mobiles,Accessories,boAt,1977.53,1330.72,3.47,2024-01-04
225,Puma Casual Tee,Fashion,Women Apparel,Puma,1280.27,985.6,3.41,2023-09-25
226,LG 260L Double Door Refrigerator V2,Home Appliances,Cooling,LG,44766.35,32570.21,3.13,2023-03-10
227,Samsung Galaxy S23 FE Edition,Mobiles,Smartphones,Samsung,54300.88,46367.38,4.69,2022-09-21
228,Puma T-shirt Silver,Fashion,Apparel,Puma,1579.03,978.34,4.12,2023-05-06
229,Prestige Sandwich Maker Black,Home Appliances,Kitchen,Prestige,3924.91,2603.19,3.62,2023-06-12
230,HP Chromebook 14,Laptops,Budget Laptops,HP,32147.34,22637.92,4.56,2024-03-30
231,Puma Running Shoes,Fashion,Men Footwear,Puma,3736.97,2663.86,3.94,2022-11-21
232,Samsung Galaxy A54 Edition,Mobiles,Smartphones,Samsung,38831.08,32996.55,4.43,2023-08-10
233,Philips Hair Dryer Pro,Beauty,Personal Care,Philips,2640.21,2122.25,3.21,2023-12-06
234,LG Direct Cool Refrigerator Black,Home Appliances,Cooling,LG,47459.41,30729.85,3.39,2024-04-20
235,Philips Beard Trimmer Series 3000 128GB,Beauty,Personal Care,Philips,1536.81,1114.1,2.54,2022-07-12
236,Philips Air Fryer HD9200 Silver,Home Appliances,Kitchen,Philips,4589.61,2885.94,2.83,2022-11-14
237,Puma Track Pants XL,Fashion,Apparel,Puma,1747.18,1299.44,3.68,2022-06-26
238,Puma Track Pants,Fashion,Apparel,Puma,1757.87,1387.5,4.67,2023-01-13
239,Puma Casual Tee Edition,Fashion,Women Apparel,Puma,2760.99,2168.0,3.71,2022-05-25
240,Apple MacBook Air M1 Silver,Laptops,Thin & Light,Apple,138590.82,111233.26,2.81,2022-08-31
241,Philips Hair Dryer V2,Beauty,Personal Care,Philips,1647.81,1360.34,4.15,2023-01-30
242,Philips Hair Dryer,Beauty,Personal Care,Philips,1239.27,1002.24,2.96,2022-02-22
243,HP Omen 16 Blue,Laptops,Gaming Laptops,HP,67752.1,47823.6,3.32,2023-09-09
244,Prestige Sandwich Maker Black,Home Appliances,Kitchen,Prestige,3669.05,2901.4,4.53,2024-01-17
245,Philips Induction Cooktop XL,Home Appliances,Kitchen,Philips,3184.05,2473.56,2.65,2023-07-04
246,Philips Beard Trimmer Series 3000 Edition,Beauty,Personal Care,Philips,1755.56,1139.74,4.0,2024-02-09
247,Philips Hair Dryer XL,Beauty,Personal Care,Philips,2539.27,1714.66,2.92,2022-09-06
248,Puma Softride Rift,Fashion,Men Footwear,Puma,1908.15,1203.75,4.17,2022-05-24
249,Puma Women Leggings XL,Fashion,Women Apparel,Puma,2119.28,1617.61,4.22,2023-02-15
250,Samsung Galaxy A54 Pro,Mobiles,Smartphones,Samsung,47627.73,30230.8,4.53,2022-10-11
251,Noise ColorFit Pulse Pack of 2,Electronics,Audio,Noise,2367.88,1625.95,3.49,2023-02-05
252,Philips Hair Dryer 128GB,Beauty,Personal Care,Philips,2068.04,1620.97,3.0,2023-08-01
253,Wooden Study Table Black,Furniture,Office,LG,13060.79,9623.64,4.51,2022-03-15
254,boAt Power Bank 10000mAh Pro,Mobiles,Accessories,boAt,1161.26,819.58,3.96,2023-06-19
255,Apple iPhone 14 256GB,Mobiles,Smartphones,Apple,109573.83,67629.82,4.86,2022-02-19
256,boAt Nirvana Ion Pro,Electronics,Audio,boAt,1894.02,1270.03,3.93,2022-08-19
257,boAt Airdopes 141 128GB,Electronics,Audio,boAt,3692.66,2634.0,4.2,2023-12-16
258,boAt Type-C Cable,Mobiles,Accessories,boAt,1648.24,1353.25,3.66,2022-03-27
259,Philips Hair Dryer 256GB,Beauty,Personal Care,Philips,1980.52,1606.65,4.4,2023-06-17
260,Nivea Body Lotion 400ml Silver,Beauty,Skincare,Nivea,631.42,530.54,2.91,2022-08-29
